time,price,forecast_load
2018-03-16 08:00:00+00:00,55.99,35037.59375072164
2018-03-16 09:00:00+00:00,52.8,35003.075740242944
2018-03-16 10:00:00+00:00,51.17,34670.48864292125
2018-03-16 11:00:00+00:00,50.54,34145.82484654666
2018-03-16 12:00:00+00:00,50.18,33230.17966082762
2018-03-16 13:00:00+00:00,46.5,32646.17438353376
2018-03-16 14:00:00+00:00,44.3,32175.60794460038
2018-03-16 15:00:00+00:00,41.91,32076.442101513483
2018-03-16 16:00:00+00:00,42.89,32221.40879839172
2018-03-16 17:00:00+00:00,45.44,33295.61013083178
2018-03-16 18:00:00+00:00,50.54,34719.04495985972
2018-03-16 19:00:00+00:00,50.13,34090.99934571894
2018-03-16 20:00:00+00:00,50.17,31961.87753592511
2018-03-16 21:00:00+00:00,49.89,29191.68917567276
2018-03-16 22:00:00+00:00,44.01,27100.16206755293
2018-03-16 23:00:00+00:00,41.71,25793.76818776144
2018-03-17 00:00:00+00:00,36.27,24283.001971553396
2018-03-17 01:00:00+00:00,35.0,23691.564402640048
2018-03-17 02:00:00+00:00,35.55,23316.362427580752
2018-03-17 03:00:00+00:00,36.37,23474.795833436983
2018-03-17 04:00:00+00:00,36.96,24263.29711040823
2018-03-17 05:00:00+00:00,37.89,25706.5936828412
2018-03-17 06:00:00+00:00,37.87,26399.006343366847
2018-03-17 07:00:00+00:00,40.8,28970.68427748842
