time,actual_load,predicted_load_histgb,error_histgb
2018-03-16 08:00:00+00:00,34920.0,35037.59375072164,-117.59375072163675
2018-03-16 09:00:00+00:00,34837.0,35003.075740242944,-166.07574024294445
2018-03-16 10:00:00+00:00,34651.0,34670.48864292125,-19.488642921249266
2018-03-16 11:00:00+00:00,34338.0,34145.82484654666,192.1751534533396
2018-03-16 12:00:00+00:00,33245.0,33230.17966082762,14.820339172380045
2018-03-16 13:00:00+00:00,32434.0,32646.174383533762,-212.174383533762
2018-03-16 14:00:00+00:00,31990.0,32175.60794460038,-185.6079446003787
2018-03-16 15:00:00+00:00,31696.0,32076.442101513483,-380.44210151348307
2018-03-16 16:00:00+00:00,31598.0,32221.40879839172,-623.4087983917198
2018-03-16 17:00:00+00:00,33465.0,33295.61013083178,169.38986916821887
2018-03-16 18:00:00+00:00,34866.0,34719.04495985972,146.9550401402812
2018-03-16 19:00:00+00:00,34068.0,34090.99934571894,-22.999345718941186
2018-03-16 20:00:00+00:00,31909.0,31961.87753592511,-52.87753592510853
2018-03-16 21:00:00+00:00,29497.0,29191.689175672756,305.3108243272436
2018-03-16 22:00:00+00:00,27572.0,27100.16206755293,471.83793244706976
2018-03-16 23:00:00+00:00,25634.0,25793.768187761438,-159.76818776143773
2018-03-17 00:00:00+00:00,24440.0,24283.001971553393,156.99802844660735
2018-03-17 01:00:00+00:00,23750.0,23691.564402640048,58.435597359952226
2018-03-17 02:00:00+00:00,23277.0,23316.362427580752,-39.36242758075241
2018-03-17 03:00:00+00:00,23353.0,23474.795833436983,-121.79583343698323
2018-03-17 04:00:00+00:00,24037.0,24263.29711040823,-226.29711040823167
2018-03-17 05:00:00+00:00,24808.0,25706.593682841198,-898.5936828411977
2018-03-17 06:00:00+00:00,26723.0,26399.006343366847,323.99365663315257
2018-03-17 07:00:00+00:00,29594.0,28970.68427748842,623.3157225115792
2018-03-17 08:00:00+00:00,31249.0,31152.99197430261,96.0080256973888
2018-03-17 09:00:00+00:00,31699.0,31668.449514256703,30.55048574329703
2018-03-17 10:00:00+00:00,31175.0,31711.144564827846,-536.1445648278459
2018-03-17 11:00:00+00:00,31393.0,30600.01219418438,792.987805815621
2018-03-17 12:00:00+00:00,30682.0,30755.62090213114,-73.62090213114061
2018-03-17 13:00:00+00:00,29529.0,29987.944728485174,-458.944728485174
2018-03-17 14:00:00+00:00,28725.0,29074.156022385985,-349.1560223859851
2018-03-17 15:00:00+00:00,28650.0,28704.28338014684,-54.2833801468405
2018-03-17 16:00:00+00:00,29025.0,29155.15932236527,-130.15932236527078
2018-03-17 17:00:00+00:00,30539.0,30379.086313151736,159.91368684826375
2018-03-17 18:00:00+00:00,31888.0,31837.260767750664,50.739232249336055
2018-03-17 19:00:00+00:00,31615.0,31090.891688786018,524.1083112139822
2018-03-17 20:00:00+00:00,30256.0,29762.984245323118,493.01575467688235
2018-03-17 21:00:00+00:00,28147.0,27793.741045685896,353.2589543141039
2018-03-17 22:00:00+00:00,25968.0,25875.82637988773,92.17362011226942
2018-03-17 23:00:00+00:00,24055.0,24513.208240004118,-458.2082400041181
2018-03-18 00:00:00+00:00,22580.0,22998.923091699427,-418.92309169942746
2018-03-18 01:00:00+00:00,21802.0,22006.818231416375,-204.81823141637506
2018-03-18 02:00:00+00:00,21427.0,21535.019231796745,-108.01923179674486
2018-03-18 03:00:00+00:00,21512.0,21678.921434922155,-166.92143492215473
2018-03-18 04:00:00+00:00,22029.0,22046.574193935514,-17.574193935513904
2018-03-18 05:00:00+00:00,22134.0,23155.70347017869,-1021.7034701786906
2018-03-18 06:00:00+00:00,23412.0,23138.146925357927,273.8530746420729
2018-03-18 07:00:00+00:00,25873.0,24998.02511879944,874.97488120056
2018-03-18 08:00:00+00:00,27680.0,27658.33180503534,21.66819496465905
2018-03-18 09:00:00+00:00,28490.0,28253.99922431726,236.0007756827399
2018-03-18 10:00:00+00:00,28326.0,28416.545325773324,-90.5453257733243
2018-03-18 11:00:00+00:00,28580.0,28092.729647286153,487.2703527138474
2018-03-18 12:00:00+00:00,28164.0,27931.717467921404,232.28253207859598
2018-03-18 13:00:00+00:00,26947.0,27350.985960432095,-403.98596043209545
2018-03-18 14:00:00+00:00,26038.0,26404.348319302837,-366.3483193028369
2018-03-18 15:00:00+00:00,25660.0,25975.250044990866,-315.2500449908657
2018-03-18 16:00:00+00:00,26016.0,26575.064998211725,-559.0649982117247
2018-03-18 17:00:00+00:00,28432.0,27760.146816728884,671.853183271116
